Branch ID	Route Name 	Starting Point	Ending Point	Sign	Notes	Division(s)	Long Description
32_0_ke32	32 Eglinton West	Keele Street/Trethewey Drive	Eglinton Station	32 Eglinton Stn	via Eglinton W Stn	Mount Dennis	
32_0_mp32sch	32 Eglinton West	Michael Power/St Joseph HS	Eglinton Station	32 Eglinton Stn	School Trip, via Eglinton W Stn	Mount Dennis	TRACK
32_0_MPEWsch	32 Eglinton West	Michael Power/St Joseph HS	Eglinton West Station	32D Eglinton West Stn	First PM Trip // School Trip	Mount Dennis	TRACK
32_0_ke32sch	32 Eglinton West	Keele Street/Trethewey Drive	Eglinton Station	32 Eglinton Stn	via Eglinton W Stn	Mount Dennis	TRACK
32_0_KEEW	32 Eglinton West	Keele Street/Trethewey Drive	Eglinton West Station	32D Eglinton West Stn	N/A	Mount Dennis	
32_1_32A	32 Eglinton West	Eglinton Station	Renforth Station	32A Renforth Stn	via Eglinton West Stn	Mount Dennis	
32_1_32ke	32 Eglinton West	Eglinton Station	Keele Street/Trethewey Drive	32S Short Turn	via Eglinton West Stn	Mount Dennis	After the 5 Avenue Rd trip, the bus drivers on 5 Avenue Rd changes to the 32 Eglinton West at Eglinton Stn and Arrive at Keele Street to end the trip
32_1_ke32Asch	32 Eglinton West	Eglinton Station	Renforth Station	32A Renforth Stn	via Eglinton West Stn	Mount Dennis	TRACK
32_1_32C	32 Eglinton West	Eglinton Station	Pine Street/Lawrence Ave West	32C Jane & Lawrence via Trethewey	via Eglinton West Stn	Mount Dennis	
32_1_32D	32 Eglinton West	Eglinton West Station	Emmett Avenue/Verona Avenue	32D Jane & Emmett	N/A	Mount Dennis	
32_1_32F	32 Eglinton West	Eglinton West Station	Royal York Road/Threhorne Drive	32F Royal York and York Memorial CI	N/A	Mount Dennis
32_1_es32F	32 Eglinton West	Eglinton Station	Royal York Road/Threhorne Drive	32F Royal York and York Memorial CI	N/A	Mount Dennis	
32_1_EMHO	32 Eglinton West	Emmett Avenue/Verona Avenue	Eglinton West Station	32D Eglinton West Stn	First 32D Trip	Mount Dennis	
32_1_WRPI	32 Eglinton West	Wright Avenue/Jane Street	Pine Street/Lawrence Ave West	32C Jane & Lawrence via Trethewey	First trip	Mount Dennis	
32_1_MMEWsch	32 Eglinton West	1107 Avenue Road (Marshall Mcluhan Sec School)	Eglinton West Station	32D Eglinton West Stn	First PM Trip // School Trip	Mount Dennis	TRACK
33_0_33	33 Forest Hill	Roselawn/Bathurst Street	St Clair West Station	33 St Clair West Stn	N/A	Wilson	
33_0_33roch	33 Forest Hill	Roselawn/Chaplin Crescent	St Clair West Station	33 St Clair West Stn	N/A	Wilson	
33_0_SPSC	33 Forest Hill	Eglinton/Spadina	St Clair West Station	33 St Clair West Stn	First trip	Wilson	
33_0_RLscw	33 Forest Hill	Roselawn/Bathurst Street	St Clair West Station	33 St Clair West Stn	N/A	Wilson	
33_1_33	33 Forest Hill	St Clair West Station	Roselawn/Bathurst Street	33 Eglinton (Roselawn)	N/A	Wilson	
33_1_33roch	33 Forest Hill	St Clair West Station	Roselawn/Chaplin Crescent	33 Eglinton (Roselawn)	Last trip of 33	Wilson	
34_0_34A	34 Eglinton East 	Eglinton Station	Kennedy Station	34A Kennedy Stn	N/A	Eglinton	
34_0_34Aam	34 Eglinton East 	Duplex Avenue (Eglinton Station)	Kennedy Station	34A Kennedy Stn 	N/A	Eglinton	TRACK
34_0_34Akn	34 Eglinton East	Duplex Avenue (Eglinton Station)	Kennedy Station	34A Kennedy Stn	N/A	Eglinton	TRACK
34_0_34B	34 Eglinton East 	Don Mills Road/Wynford Drive	Kennedy Station	34A Kennedy Stn	N/A	Eglinton	
34_0_34C	34 Eglinton East 	Eglinton Station	Grenoble/Spanbridge (Flemingdon Park) 	34C Flemingdon Park (Grenoble/Spanbridge)	N/A	Eglinton	
34_1_34A	34 Eglinton East 	Kennedy Station	Eglinton Station	34 Eglinton Stn	N/A	Eglinton	
34_1_34Aes	34 Eglinton East	Kennedy Road	Eglinton Station	34 Eglinton Stn	N/A	Eglinton	
34_1_34Akes	34 Eglinton East	Brimley Road	Eglinton Station	34 Eglinton Stn	bypass Kennedy Stn	Eglinton	TRACK
34_1_34B	34 Eglinton East 	Kennedy Station	Don Mills Road/Wynford Drive	34B Don Mills and Wynford 	N/A	Eglinton	
34_1_34C	34 Eglinton East 	Grenoble/Spanbridge (Flemingdon Park) 	Eglinton Station	34C Eglinton Stn	N/A	Eglinton	
34_1_EGES	34 Eglinton East	Eglinton Avenue East/Rawnlinson Avenue	Eglinton Station	34A Eglinton Stn	School Trip	Eglinton	TRACK
34_1_LBES	34 Eglinton East	Lebovic Avenue/Eglinton Avenue East	Eglinton Station	34A Eglinton Stn	N/A	Eglinton	This branch is used when bus employees drives the bus out from the Eglinton Garage.
35_0_35A	35 Jane	Pioneer Village Station	Jane Station	35 Jane Stn	N/A	Arrow Rd	
35_0_35Apv	35 Jane	Northwest Gate (Pioneer Village Stn)	Jane Station	35 Jane Stn	N/A	Arrow Rd	
35_0_35Arush	35 Jane	Pioneer Village Station	Jane Station	35 Jane Stn	unknown differences	Arrow Rd	
35_0_35B	35 Jane	Pioneer Village Station	Jane Station	35B Jane Stn via Hullmar	N/A	Arrow Rd	
35_0_35Brush	35 Jane	Pioneer Village Station	Jane Station	35B Jane Stn via Hullmar	N/A	Arrow Rd	
35_0_sh35	35 Jane	Sheppard Ave West/Jane Street	Jane Station	35 Jane Stn	N/A	Arrow Rd	
35_0_fj35	35 Jane	Finch Avenue West/Jane Street	Jane Station	35 Jane Stn	First trip	Arrow Rd	
35_1_35A	35 Jane	Jane Station	Pioneer Village Station	35A Pioneer Village Stn	N/A	Arrow Rd	
35_1_35Apv	35 Jane	Jane Station	Northwest Gate (Pioneer Village Stn)	35A Pioneer Village Stn	does not enter Pioneer Village Stn	Arrow Rd	
35_1_35Arush	35 Jane	Jane Station	Pioneer Village Station	35A Pioneer Village Stn	bypass Bloor Street 	Arrow Rd	
35_1_35B	35 Jane	Jane Station	Pioneer Village Station	35B Pioneer Village Stn via Hullmar	N/A	Arrow Rd	
35_1_35Brush	35 Jane	Jane Station	Pioneer Village Station	35B Pioneer Village Stn	bypass Bloor Street, via Hullmar	Arrow Rd	
35_1_35fj	35 Jane	Jane Station	Finch Avenue West/Jane Street	35S Finch	Last trip	Arrow Rd	
35_1_JAFJ	35 Jane	Jane Street/Wilson Avenue	Finch Avenue West/Jane Street	35S Finch	N/A	Arrow Rd	TRACK
35_1_PVST	35 Jane	Peter Keiser Gate/Steeles	Northwest Gate (Pioneer Village Stn)	35A Pioneer Village Stn	N/A	Arrow Rd	
35_1_PVSTpv	35 Jane 	Jane Street/Hullmar Drive	Pioneer Village Station	35A Pioneer Village Stn	First run before subway is open	Arrow Rd	
36_0_36A	36 Finch West	Humberwood Loop	Finch West Station	36A Finch West Stn	N/A	Arrow Rd	
