Route Number	Route Name	Division(s)	All Interlines	Internal Branches
324	Victoria Park	Birchmount	12 Kingston Rd, 16 McCowan, 24 Victoria Park, 31 Greenwood, 83 Jones, 87 Cosburn, 92 Woodbine South, 322 Coxwell	"324_0_324
324_1_324
324_1_324v
324_1_BIDA"
325	Don Mills	Eglinton	25 Don Mills, 70 O'Connor	"325_0_325
325_1_325
325_0_325ps
325_1_325ps"
329	Dufferin	Mount Dennis	29 Dufferin, 41 Keele, 47 Lansdowne, 127 Davenport, 341 Keele	"329_0_329
329_1_329
329_1_exwl329
329_1_329old"
332	Eglinton West	Mount Dennis	32 Eglinton West, 300 Bloor-Danforth	"332_0_332
332_1_332
332_1_332Con
332_0_sk332"
334	Eglinton East	Eglinton	34 Eglinton East, 43 Kennedy, 54 Lawrence East, 86 Scarborough, 100 Flemingdon Park, 116 Morningside	"334_0_334
334_1_334
334_0_334*
334_1_334*
334_0_FDNW
334_1_NWFD"
335	Jane	Arrow Rd	35 Jane 	"335_0_335
335_1_335"
336	Finch West	Arrow Rd, Malvern	36 Finch West, 39 Finch East, 339 Finch East, 939 Finch Express	"336_0_336
336_1_336
336_0_336fs
336_1_336fs"
337	Islington	Queensway	37 Islington, 45 Kipling	"337_0_337
337_1_337
337_0_SLST
337_1_337ISTN"
339	Finch East	Arrow Rd, Malvern	36 Finch West, 39 Finch East, 336 Finch West, 939 Finch Express	"339_0_339
339_1_339
339_0_fs339
339_1_ne339
339_1_NWTA"
341	Keele	Mount Dennis	41 Keele, 329 Dufferin 	"341_0_341
341_1_341"
343	Kennedy	Eglinton	43 Kennedy	"343_0_343
343_0_MIPA
343_1_343"
352	Lawrence West	Mount Dennis	52 Lawrence West	"352_0_352
352_1_352
352_1_SUKE
352_1_LWSU"
353	Steeles	Malvern	39 Finch East, 53 Steeles East, 85 Sheppard East, 95 York Mills, 116 Morningside, 133 Neilson	"353_0_c353
353_0_FDNW
353_1_353c
353_1_NWFD"
354	Lawrence East	Eglinton	34 Eglinton East, 54 Lawrence East, 100 Flemingdon Park	"354_0_354B
354_1_354B
354_1_354c
354_1_354d"
363	Ossington	Wilson	63 Ossington	"363_0_363
363_1_363
363_0_363ca
363_1_ki363"
365	Parliament	Birchmount	65 Parliament	"365_0_365
365_1_365"
384	Sheppard West	Arrow Rd	84 Sheppard West	"384_0_384
384_1_384
384_0_WERI"
385	Sheppard East	Malvern	85 Sheppard East, 129 McCowan North	"385_0_385
385_1_385"
395	York Mills	Malvern	95 York Mills	"395_0_395
395_1_395
395_0_SLPM"
396	Wilson	Arrow Rd	46 Martin Grove, 60 Steeles West, 96 Wilson	"396_0_396
396_1_396
396_0_396*
396_1_396*"
501	Queen	Leslie, Russell	301 Queen	"501_0_501
501_0_501A
501_0_501L
501_0_CQNE
501_0_HUCQ
501_0_LOCQ
501_1_501
501_1_501A
501_1_501L
501_1_CQHU
501_1_CQLO
501_1_NECQ
501_0_SYCQ
501_1_CQSY"
502	Downtowner	Birchmount	Unknown	"502_0_502
502_1_502
502_0_CQBI
502_0_KGBI
502_0_502Bus
502_1_502Bus
502_1_BICQ
502_1_cq502mc
502_1_BIKG"
503	Kingston Rd	Russell	Unknown	"503_0_503
503_1_503
503_0_CQBI"
504	King	Leslie, Russell	304 King	"504_0_504A
504_0_504Abr
504_0_504am
504_0_504B
504_0_504br
504_0_BRBS
504_0_EXBR
504_1_504A
504_1_504B
504_1_504Brush
504_1_br504
504_1_br504A
504_1_504Bam
504_1_br504ex
504_1_BSBR
504_1_BREX"
505	Dundas	Birchmount, Wilson, Mount Dennis	Unknown	"505_0_505
505_1_505
505_0_505bus
505_1_505bus
505_0_505rushbus
505_1_505rushbus"
