36_0_36J	36 Finch West	Humberwood Loop	Finch Stn	36 Finch Stn	via Finch West Stn
36_1_36J	36 Finch West	Finch Stn	Humberwood Loop	36A Humberwood Loop	via Finch West Stn
36_0_36FWES	36 Finch West	Finch Stn	Weston Rd	36S Weston Rd	via Finch West Stn
36_0_MPWE	36 Finch West	Milvan Dr/Penn Dr	Finch Ave/Weston Rd	36 Weston Rd	last trip
36_0_fa36c	36 Finch West	Finch Avenue West	Finch Stn	36 Finch Stn	bypass Finch West Stn
36_1_36Dpv	36 Finch West	Yonge St	Weston and Milvan	36D Weston Rd	N/A
36_0_36Jpv	36 Finch West	Humberwood Loop	Yonge St	36 Finch Stn	bypass Finch West Stn
36_1_36Jpv	36 Finch West	Yonge St	Humberwood Loop	36A Humberwood Loop	bypass Finch West Stn
37_0_37A	37 Islington	Humberwood Loop	Islington Stn	37 Islington Stn	N/A
37_1_37A	37 Islington	Islington Stn	Humberwood Loop	37A Woodbine/Humberwood	via Rexdale Blvd
37_0_37B	37 Islington	Steeles Loop/Islington	Islington Stn	37 Islington Stn	N/A
37_1_37B	37 Islington	Islington Stn	Steeles Loop/Islington	37B Steeles 	N/A
38_0_38A	38 Highland Creek	Rouge Hill GO Stn	Scarborough Centre 	38 Scarborough Centre 	N/A
38_1_38A	38 Highland Creek	Scarborough Centre 	Rouge Hill GO Stn	38A Rouge Hill GO Stn	N/A
38_0_38B	38 Highland Creek	U of T Scarborough 	Scarborough Centre 	38 Scarborough Centre	N/A
38_1_38B	38 Highland Creek	Scarborough Centre 	U of T Scarborough 	38B U of T Scarborough	N/A
39_0_39A	39 Finch East	Finch Stn	Neilson Road	39A Neilson 	N/A
39_1_39A	39 Finch East	Neilson Road	Finch Stn	39 Finch Stn	N/A
39_0_39B	39 Finch East	Finch Stn	Old Finch/Morningview	39B Old Finch/Morningview	N/A
39_1_39B	39 Finch East	Old Finch/Morningview	Finch Stn	39 Finch Stn	N/A
39_0_39C	39 Finch East	Finch Stn	Victoria Park/Gordon Baker	39C Victoria Park/Gordon Baker	N/A
39_1_39C	39 Finch East	Victoria Park/Gordon Baker	Finch Stn	39 Finch Stn	N/A
40_0_40	40 Junction 	Runnymede Loop	Dundas West Stn	40 Dundas West Stn	N/A
40_1_40	40 Junction 	Dundas West Stn	Runnymede Loop	40 Runnymede	N/A
40_1_40edna	40 Junction 	Edna/Dundas 	Runnymede Loop	40 Runnymede	N/A
41_0_41A	41 Keele	Pioneer Village Stn	Keele Stn	41 Keele Stn	N/A
41_1_41A	41 Keele	Keele Stn	Pioneer Village Stn	41A Pioneer Village Stn	N/A
41_0_41Apv	41 Keele	Northwest Gate (Pioneer Village Stn)	Keele Stn	41 Keele Stn	Does not enter Pioneer Village Stn
41_0_41E	41 Keele	Four Winds Dr (Finch West Stn)	Keele Stn	41E Keele Stn	Express
41_1_41E	41 Keele	Keele Stn	Four Winds Dr (Finch West Stn)	41E Finch West Stn	Express
42_0_42A	42 Cummer	Finch Stn	Middlefield Road	42A Middlefield	via Dynamic Drive
42_1_42A	42 Cummer	Dynamic Drive	Finch Stn	42 Finch Stn	N/A
42_0_42Acon	42 Cummer	Finch Stn	Middlefield Road	42A Middlefield	via Dynamic Drive
42_1_42Acon	42 Cummer	Dynamic Drive	Finch Stn	42 Finch Stn	N/A
42_0_42C	42 Cummer	Finch Stn	Victoria Park/Gordon Baker	42C Victoria Park	N/A
42_1_42C	42 Cummer	Victoria Park/Gordon Baker	Finch Stn	42 Finch Stn	N/A
42_0_42MCVP	42 Cummer	McNicoll/Victoria Park	Victoria Park/Gordon Baker	42C Victoria Park	N/A
42_1_42mfs	42 Cummer	Victoria Park/Gordon Baker	Finch Stn	42 Finch Stn	N/A
43_0_43A	43 Kennedy 	Steeles	Kennedy Stn	43 Kennedy	N/A
43_1_43A	43 Kennedy	Kennedy Stn	Steeles	43A Steeles	N/A
43_0_43B	43 Kennedy	Scarborough Centre 	Kennedy Stn	43 Kennedy 	N/A
43_1_43B	43 Kennedy	Kennedy Stn	Scarborough Centre 	43B Scarborough Centre 	via Progress
44_0_44	44 Kipling South	Kipling Stn	Lakeshore	44 Lakeshore	N/A
44_1_44	44 Kipling South	Lakeshore	Kipling Stn	44 Kipling Stn	N/A
45_0_45A	45 Kipling 	Steeles 	Kipling Stn	45 Kipling Stn	N/A
45_1_45A	45 Kipling 	Kipling Stn	Steeles	45A Steeles	N/A
45_0_45B	45 Kipling 	Carlingview Drive	Kipling Stn 	45 Kipling Stn	via Belfield Road
45_1_45B	45 Kipling 	Kipling Stn	Carlingview Drive	45B Carlingview 	via Belfield Road
45_0_45E	45 Kipling	Steeles 	Kipling Stn	45E Kipling Stn	Express
45_1_45E	45 Kipling 	Kipling Stn	Steeles	45E Steeles	Express
45_0_45ACon	45 Kipling 	Steeles	Kipling Stn	45 Kipling Stn	N/A
45_1_45ACon	45 Kipling 	Kipling Stn	Steeles	45A Steeles	N/A
45_0_45BCon	45 Kipling 	Carlingview Drive	Kipling Stn	45 Kipling Stn	N/A
45_1_45BCon	45 Kipling 	Kipling Stn	Carlingview Drive	45B Carlingview	via Belfield Road
45_0_45ECon	45 Kipling	Steeles 	Kipling Stn	45E Kipling Stn	Express
45_1_45ECon	45 Kipling	Kipling Stn	Steeles	45E Steeles	Express
45_0_45Econ	45 Kipling	Steeles	Kipling Stn	45E Kipling Stn	Express
45_1_45Econ	45 Kipling 	Kipling Stn	Steeles	45E Steeles	Express
46_0_46	46 Martin Grove	Steeles	Kipling Stn	46 Kipling Stn	N/A
46_1_46	46 Martin Grove	Kipling Stn	Steeles	46 Steeles 	N/A
46_0_46con	46 Martin Grove	Steeles	Kipling Stn	46 Kipling Stn	N/A
46_1_46con	46 Martin Grove	Kipling Stn	Steeles	46 Steeles 	N/A
46_0_NTKP	46 Martin Grove	Martin Grove/Nottinghill Gate	Kipling Stn	46 Kipling Stn	N/A
47_0_47A	47 Lansdowne	St. Clair Avenue West	Queen Street	47A Queen	bypassing Bloor Street
47_1_47A	47 Lansdowne	Queen Street	St. Clair Avenue West	47A St. Clair	bypassing Bloor Street
47_0_47B	47 Lansdowne	Yorkdale Stn	Queen Street	47B Queen	via Bridgeland bypassing Bloor Street
47_1_47B	47 Lansdowne	Queen Street	Yorkdale Stn	47B Yorkdale Stn	via Bridgeland bypassing Bloor Street
47_0_47BCons	47 Lansdowne	Yorkdale Stn	Queen Street	47B Queen	via Bridgeland bypassing Bloor Street
47_1_47BCons	47 Lansdowne	Queen Street	Yorkdale Stn	47B Yorkdale Stn	via Bridgeland bypassing Bloor Street
47_0_47C	47 Lansdowne	Yorkdale Stn	Queen Street	47C Queen	via Orfus bypassing Bloor Street
47_1_47C	47 Lansdowne	Queen Street 	Yorkdale Stn	47C Yorkdale Stn	via Orfus bypassing Bloor Street
47_0_47ASun	47 Lansdowne	Earlscourt Loop	Queen Street	47A Queen	Stopping at Bloor Street
